LJ101-0001|Very soon now I shall be strong enough on my cyclone leg to resume my lessons in waltzing.
LJ104-0014|His air was grave and thoughtful, and in strong contrast to that of the merry and buoyant Pisani.
LJ104-0015|His temper was more equable, but his character was as impulsive as that of the admiral.
LJ104-0016|He became an accomplished scholar; but was so fond of gambling that he lost every penny, and was obliged to escape from his creditors by flight.
LJ104-0017|When he arrived there, he found the city besieged by the Turks.
LJ104-0018|In spite of his clerical dignity, he placed himself in the front rank of its defenders, and distinguished himself by extreme bravery.
LJ104-0019|He was desperately wounded, and was again believed to be dead.
LJ104-0020|He was even placed in his coffin; but just as it was being nailed down, he showed signs of returning life.
LJ104-0021|He now entered upon political life, and soon showed brilliant talents.
LJ104-0022|and soon afterwards received a separate naval command.
LJ104-0023|He had captured nearly seventy Genoese vessels, of various sizes, had cruised for some time in sight of Genoa,
LJ104-0024|The stores on board ship were also brought ashore, and proved ample for the present necessities of the army.
LJ104-0025|The change which three weeks had made in the appearance of the Venetian forces was marvellous.
LJ104-0026|Ample food, firing, and shelter had restored their wasted frames, and assurance of victory had taken the place of the courage of despair.
LJ104-0027|A month of toil, hardship, and fighting had converted a mob of recruits into disciplined soldiers,
LJ104-0028|Zeno, indeed, was so rash and fearless that he had innumerable escapes from death.
LJ104-0029|One arrow pierced his throat.
LJ104-0030|Dragging it out, he continued to issue his orders for getting the galley off the shore—
LJ104-0031|bade a seaman swim with a line to the moorings,
LJ104-0032|and angrily rebuked those who, believing destruction to be inevitable, entreated him to strike his flag.
LJ104-0033|The sailor reached the moorings, and, with a line he had taken, made fast a strong rope to it,
LJ104-0034|As Zeno hurried along the deck, superintending the operation, he tumbled down an open hatchway, and fell on his back, almost unconscious.
LJ104-0035|The Venetians, however, allowed the besieged to send away their women and children, who were taken to Venice and kindly treated there.
LJ104-0036|This admiral had wasted much valuable time on the way, but had fallen in with and captured, after a most gallant resistance,
LJ104-0037|Their supply of fresh water was all but exhausted.
LJ104-0038|Their rations had become so scanty that, from sheer weakness, they were unable, after the first week in June, to work their guns.
LJ104-0039|Emissaries were sent to tamper with the free companies,
LJ104-0040|Attempts were made to assassinate Zeno, but these also failed.
LJ104-0041|and though, on being told that an unconditional surrender alone would be accepted, they returned to the city,
LJ104-0042|The booty was enormous; and the companies received the promised bounty, and were allowed to pillage for three days.
LJ104-0043|So large was the plunder collected, in this time, by the adventurers, that the share of one of them amounted to five hundred ducats.
LJ104-0044|The republic, however, did not come off altogether without spoil— they obtained nineteen seaworthy galleys,
LJ104-0045|Four thousand, four hundred and forty prisoners, and a vast amount of valuable stores,
LJ104-0046|Each citizen felt that he had some share in the triumph, for each had taken his share in the sufferings, the sacrifices, and the efforts of the struggle.
LJ104-0047|no pitiful entreaty for aid in their peril.
LJ104-0048|From every house hung flags and banners, every balcony was hung with tapestry and drapery.
LJ104-0049|The Grand Canal was closely packed with gondolas, which, for once, disregarded the sumptuary law that enforced black as their only hue,
LJ104-0050|Gaily dressed ladies sat beneath canopies of silk and velvet; flags floated from every boat,
LJ104-0051|The church bells rang out with a deafening clang, and from roof and balcony, from wharf and river,
LJ104-0052|rang out a mighty shout of welcome and triumph from the crowded masses, as the great state gondola, bearing the doge and the two commanders,
LJ104-0053|"She said it would be a shame, indeed, if you should arrive home and find no one to greet you."""
LJ104-0054|to return and find the house empty; and after the terrible dangers and hardships you have gone through, Francisco,
LJ104-0055|"""I think that is fancy on your part, Giulia."
LJ104-0056|To my eyes he looks as stout as ever I saw him.
LJ104-0057|But certainly he looked as lean and famished as a wolf, when I paid that visit to the camp the day before Zeno's arrival.
LJ104-0058|His clothes hung loose about him, his cheeks were hollow, and his eyes sunken.
LJ104-0059|He would have been a sight for men to stare at, had not every one else been in an equally bad case.
LJ104-0060|"""That will I right gladly,"" Francis said. ""I used to think, once, I should like to be a man-at-arms; but I have seen enough of it,"
LJ104-0061|I have had many letters from my father, chiding me for mingling in frays in which I have no concern, and shall be able to gladden his heart,
LJ104-0062|It has given you the citizenship of Venice, in itself no slight advantage to you as a trader here.
LJ104-0063|It has given you three hundred ducats a year, which, as a mark of honour, is not to be despised.
LJ104-0064|It has won for you a name throughout the republic, and has given you a fame and popularity such as few, if any, citizens of Venice
LJ104-0065|You have acquired the habit of commanding men.
LJ104-0066|You have been placed in positions which have called for the exercise of rare judgment, prudence, and courage; and you have come well through it all.
LJ104-0067|It is but four years since your father left you a lad in my keeping.
LJ104-0068|Now you are a man, whom the highest noble in Venice might be proud of calling his son.
LJ104-0069|You have no reason to regret, therefore, that you have, for a year, taken up soldiering instead of trading,
LJ104-0070|"Tell me, my boy, frankly, if there is anything that you would wish to ask of me."""
LJ104-0071|"“I am glad you have spoken frankly, dear lad,"" the merchant said."
LJ104-0072|I have watched with approval that, as Giulia grew from a child into a young woman, her liking for you seemed to ripen into affection.
LJ104-0073|"""I could not, however, offer my daughter's hand to one who might reject it, or who, if he accepted it,"
LJ104-0074|Now that you have told me you love her, all difficulties are at an end.
LJ104-0075|I am not one of those fathers who would force a marriage upon their daughters, regardless of their feelings.
LJ104-0076|I gave to Maria free choice among her various suitors, and so I would give it to Giulia.
LJ104-0077|You can, if you like, pay long visits with her from time to time to your native country, but make Venice your headquarters.
LJ104-0078|"""I need say nothing to you about her dowry. I intended that, as my partner, you should take a fourth share of the profits of the business;"
LJ104-0079|"At my death, my fortune will be divided between my girls."""
LJ104-0080|Giulia had inspired him, four years before, with a boyish love, and it had steadily increased until he felt that,
LJ104-0081|I am as pleased that this should be so as you are.
LJ104-0082|I now feel that I have, indeed, gained a son and secured the happiness of my daughter.
LJ104-0083|Go in to her now. You will find her in the embroidery room.
LJ104-0084|I told her that I should speak to you this evening, and she is doubtless in a tremble as to the result, for she told me frankly that, although she loved you,
LJ104-0085|she feared you only regarded her with the affection of a brother, and she implored me, above all, not to give you a hint of her feelings towards you,
LJ104-0086|There were great festivities, and the merchant spent a considerable sum in giving a feast, on the occasion, to all the poor of Venice.
